speaker,split,video_folder,sample_path,Sign-Arabic,class_id,num_frames,idx
01,train,0001,./01\train\0001\01_01_0001_(08_12_16_15_35_44)_c,0,0,5,0
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_34)_c,0,0,19,1
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_36)_c,0,0,22,2
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_42)_c,0,0,16,3
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_44)_c,0,0,16,4
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_46)_c,0,0,16,5
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_48)_c,0,0,17,6
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_50)_c,0,0,14,7
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_51)_c,0,0,15,8
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_20_53)_c,0,0,19,9
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_12)_c,0,0,22,10
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_14)_c,0,0,25,11
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_16)_c,0,0,18,12
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_17)_c,0,0,19,13
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_19)_c,0,0,17,14
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_20)_c,0,0,19,15
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_24)_c,0,0,17,16
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_25)_c,0,0,19,17
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_27)_c,0,0,18,18
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_28)_c,0,0,15,19
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_30)_c,0,0,20,20
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_32)_c,0,0,18,21
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_34)_c,0,0,19,22
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_36)_c,0,0,23,23
01,train,0001,./01\train\0001\01_01_0001_(10_11_16_16_21_38)_c,0,0,17,24
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_44)_c,0,0,21,25
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_48)_c,0,0,21,26
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_50)_c,0,0,19,27
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_51)_c,0,0,21,28
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_53)_c,0,0,21,29
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_55)_c,0,0,21,30
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_57)_c,0,0,20,31
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_27_59)_c,0,0,22,32
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_01)_c,0,0,22,33
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_11)_c,0,0,21,34
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_15)_c,0,0,22,35
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_17)_c,0,0,25,36
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_19)_c,0,0,23,37
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_21)_c,0,0,21,38
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_23)_c,0,0,22,39
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_26)_c,0,0,21,40
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_28)_c,0,0,20,41
01,train,0001,./01\train\0001\01_01_0001_(17_11_16_16_28_30)_c,0,0,19,42
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_02)_c,1,1,15,43
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_05)_c,1,1,21,44
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_07)_c,1,1,18,45
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_09)_c,1,1,21,46
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_11)_c,1,1,23,47
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_13)_c,1,1,30,48
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_18)_c,1,1,28,49
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_21)_c,1,1,24,50
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_23)_c,1,1,25,51
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_25)_c,1,1,23,52
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_31)_c,1,1,25,53
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_32)_c,1,1,23,54
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_34)_c,1,1,16,55
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_36)_c,1,1,21,56
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_38)_c,1,1,24,57
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_39)_c,1,1,23,58
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_42)_c,1,1,29,59
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_44)_c,1,1,27,60
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_48)_c,1,1,23,61
01,train,0002,./01\train\0002\01_01_0002_(10_11_16_16_25_50)_c,1,1,24,62
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_23)_c,1,1,20,63
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_25)_c,1,1,19,64
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_27)_c,1,1,19,65
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_29)_c,1,1,20,66
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_31)_c,1,1,22,67
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_32)_c,1,1,21,68
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_34)_c,1,1,21,69
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_36)_c,1,1,23,70
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_38)_c,1,1,22,71
01,train,0002,./01\train\0002\01_01_0002_(17_11_16_16_29_40)_c,1,1,23,72
